"id","date","tweet","insult_1","target_1","insult_2","target_2","insult_3","target_3","insult_4","target_4","insult_5","target_5","insult_6","target_6"
"1920",2017-11-14,"One of the most accurate polls last time around. But #FakeNews likes to say we're in the 30's. They are wrong. Some people think numbers could be in the 50's. Together, WE will MAKE AMERICA GREAT AGAIN! https://t.co/YhrwkdObhP","#FakeNews","the-media","They are wrong","the-media",NA,NA,NA,NA,NA,NA,NA,NA
"1921",2017-11-15,"Do you think the three UCLA Basketball Players will say thank you President Trump? They were headed for 10 years in jail!","Do you think the three UCLA Basketball Players will say thank you President Trump?","ucla-basketball-players",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1922",2017-11-15,"It is actually hard to believe how naive (or dumb) the Failing @nytimes is when it comes to foreign policy...weak and ineffective!","naive (or dumb)","the-new-york-times","Failing","the-new-york-times","weak and ineffective!","the-new-york-times",NA,NA,NA,NA,NA,NA
"1923",2017-11-15,"The failing @nytimes hates the fact that I have developed a great relationship with World leaders like Xi Jinping, President of China.....","failing","the-new-york-times","hates the fact that I have developed a great relationship with World leaders like Xi Jinping","the-new-york-times",NA,NA,NA,NA,NA,NA,NA,NA
"1924",2017-11-17,"If Democrats were not such obstructionists and understood the power of lower taxes, we would be able to get many of their ideas into Bill!","such obstructionists","democrats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1925",2017-11-17,"The Al Frankenstien picture is really bad, speaks a thousand words. Where do his hands go in pictures 2, 3, 4, 5 & 6 while she sleeps? .....","Al Frankenstien","al-franken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1926",2017-11-17,"Together, we're going to restore safety to our streets and peace to our communities, and we're going to destroy the vile criminal cartel, #MS13, and many other gangs...  'Hundreds arrested in MS-13 crackdown' https://t.co/Mp268d8RaU https://t.co/mrynwnTuoO","vile","ms-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1927",2017-11-18,"Crooked Hillary Clinton is the worst (and biggest) loser of all time. She just can't stop, which is so good for the Republican Party. Hillary, get on with your life and give it another try in three years!","Crooked","hillary-clinton","the worst (and biggest) loser of all time","hillary-clinton","Hillary, get on with your life and give it another try in three years!","hillary-clinton",NA,NA,NA,NA,NA,NA
"1928",2017-11-19,"Big-game trophy decision will be announced next week but will be very hard pressed to change my mind that this horror show in any way helps conservation of Elephants or any other animal.","horror show","big-game-hunting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1929",2017-11-19,"Now that the three basketball players are out of China and saved from years in jail, LaVar Ball, the father of LiAngelo, is unaccepting of what I did for his son and that shoplifting is no big deal. I should have left them in jail!","unaccepting of what I did for his son","levar-ball","I should have left them in jail!","ucla-basketball-players",NA,NA,NA,NA,NA,NA,NA,NA
